Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
V28AP7PX,journalArticle,2020,"Goode, Travis D.; Tanaka, Kazumasa Z.; Sahay, Amar; McHugh, Thomas J.","An Integrated Index: Engrams, Place Cells, and Hippocampal Memory",Neuron,,08966273,10.1016/j.neuron.2020.07.011,https://linkinghub.elsevier.com/retrieve/pii/S0896627320305286,"The hippocampus and its extended network contribute to encoding and recall of episodic experiences. Drawing from recent anatomical, physiological, and behavioral studies, we propose that hippocampal engrams function as indices to mediate memory recall. We broaden this idea to discuss potential relationships between engrams and hippocampal place cells, as well as the molecular, cellular, physiological, and circuit determinants of engrams that permit ﬂexible routing of information to intra- and extrahippocampal circuits for reinstatement, a feature critical to memory indexing. Incorporating indexing into frameworks of memory function opens new avenues of study and even therapies for hippocampal dysfunction.",2020-09,12/16/23 7:49,12/16/23 7:49,12/16/23 7:49,805-820,,5,107,,Neuron,An Integrated Index,,,,,,,en,,,,,DOI.org (Crossref),,,,"/Users/raymond/Zotero/storage/7HRBJ5FW/Goode et al. - 2020 - An Integrated Index Engrams, Place Cells, and Hip.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WUHMQJHK,journalArticle,2018,"Kriegeskorte, Nikolaus; Douglas, Pamela K.",Cognitive computational neuroscience,Nature Neuroscience,,1546-1726,10.1038/s41593-018-0210-5,https://www.nature.com/articles/s41593-018-0210-5,"To learn how cognition is implemented in the brain, we must build computational models that can perform cognitive tasks, and test such models with brain and behavioral experiments. Cognitive science has developed computational models that decompose cognition into functional components. Computational neuroscience has modeled how interacting neurons can implement elementary components of cognition. It is time to assemble the pieces of the puzzle of brain computation and to better integrate these separate disciplines. Modern technologies enable us to measure and manipulate brain activity in unprecedentedly rich ways in animals and humans. However, experiments will yield theoretical insight only when employed to test brain-computational models. Here we review recent work in the intersection of cognitive science, computational neuroscience and artificial intelligence. Computational models that mimic brain information processing during perceptual, cognitive and control tasks are beginning to be developed and tested with brain and behavioral data.",2018-09,12/16/23 7:50,12/16/23 7:50,12/16/23 7:50,1148-1160,,9,21,,Nat Neurosci,,,,,,,,en,2018 The Author(s),,,,www.nature.com,,Number: 9 Publisher: Nature Publishing Group,,/Users/raymond/Zotero/storage/VEVNDLY8/Kriegeskorte and Douglas - 2018 - Cognitive computational neuroscience.pdf,,,Computational neuroscience; Cognitive neuroscience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22ZW7H6P,journalArticle,2020,"Kringelbach, Morten L.; Deco, Gustavo",Brain States and Transitions: Insights from Computational Neuroscience,Cell Reports,,22111247,10.1016/j.celrep.2020.108128,https://linkinghub.elsevier.com/retrieve/pii/S2211124720311177,"Within the ﬁeld of computational neuroscience there are great expectations of ﬁnding new ways to rebalance the complex dynamic system of the human brain through controlled pharmacological or electromagnetic perturbation. Yet many obstacles remain between the ability to accurately predict how and where best to perturb to force a transition from one brain state to another. The foremost challenge is a commonly agreed deﬁnition of a given brain state. Recent progress in computational neuroscience has made it possible to robustly deﬁne brain states and force transitions between them. Here, we review the state of the art and propose a framework for determining the functional hierarchical organization describing any given brain state. We describe the latest advances in creating sophisticated whole-brain computational models with interacting neuronal and neurotransmitter systems that can be studied fully in silico to predict and design novel pharmacological and electromagnetic interventions to rebalance them in disease.",2020-09,12/16/23 7:51,12/16/23 7:51,12/16/23 7:51,108128,,10,32,,Cell Reports,Brain States and Transitions,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/raymond/Zotero/storage/G9YRRVGB/Kringelbach and Deco - 2020 - Brain States and Transitions Insights from Comput.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVWAYNG4,bookSection,2022,"Sarishma, Dangi; Sangwan, Sumitra; Tomar, Ravi; Srivastava, Rohit","A Review on Cognitive Computational Neuroscience: Overview, Models, and Applications",Innovative Trends in Computational Intelligence,978-3-030-78284-9,,,https://doi.org/10.1007/978-3-030-78284-9_10,"To understand the working of our biological brain, we primarily focus on three key areas which are computational neuroscience, cognitive science, and artificial intelligence. Computational neuroscience aims at explaining the neural patterns in the brain by using biologically conceivable computational models. Cognitive science aims to explain the behavioral mechanisms of the human brain, whereas artificial intelligence aims to identify complex cognitive tasks and map it together by using a computational model. In recent developments within this field, the integration of these three areas has provided valuable insights. In this work, an overview of cognitive computational neuroscience is provided along with the related models. A detailed investigation into the applications is outlined, followed by a discussion on the possible future directions.",2022,12/16/23 7:52,12/16/23 7:52,12/16/23 7:52,217-234,,,,,,A Review on Cognitive Computational Neuroscience,EAI/Springer Innovations in Communication and Computing,,,,Springer International Publishing,Cham,en,,,,,Springer Link,,DOI: 10.1007/978-3-030-78284-9_10,,/Users/raymond/Zotero/storage/NC36J3YA/Sarishma et al. - 2022 - A Review on Cognitive Computational Neuroscience .pdf,,,Neuroscience; Axons; Cognitive computation; Neurobotics,"Tomar, Ravi; Hina, Manolo Dulva; Zitouni, Rafik; Ramdane-Cherif, Amar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LJVQXRM7,journalArticle,2019,"Mishra, Abhilash; Majhi, Santosh Kumar",A comprehensive survey of recent developments in neuronal communication and computational neuroscience,Journal of Industrial Information Integration,,2452-414X,10.1016/j.jii.2018.11.005,https://www.sciencedirect.com/science/article/pii/S2452414X18300463,"Computational neuroscience and neuronal communication have been amongst the most sought after fields in the recent times. The integration of computational neuroscience and neuronal communication with evolution of information and communication technology leveraged the potential applications in many domains such as health care, nanomachine, pattern recognition, biological behaviour replication, designing hardwares for neurons, data mining , disease modeling. Therefore, a detailed understanding and modeling of neuron interconnection is highly essential. In this work, we have performed an extensive review of the recent developments in the fields of computational neuroscience, neuronal communication and neural learning. Further, review of computational neuroscience has been done for four broad categories, namely Leaky Integrate and Fire model, Hodgkin Huxley Model, Compartment Model and 2D reduction model. Most of these developments have come forth because of the recent developments in nanotechnology and bioinformatics. The presented work act as a reliable support for researchers from other domains of science and engineering wishing to jump start into computational neuroscience and neuronal communication .",3/1/19,12/16/23 7:52,12/16/23 7:52,12/16/23 7:52,40-54,,,13,,Journal of Industrial Information Integration,,,,,,,,,,,,,ScienceDirect,,,,/Users/raymond/Zotero/storage/RC9CTI3P/Mishra and Majhi - 2019 - A comprehensive survey of recent developments in n.pdf; /Users/raymond/Zotero/storage/43JF75MF/S2452414X18300463.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBKKMQHW,preprint,2023,"Stringer, Carsen; Zhong, Lin; Syeda, Atika; Du, Fengtong; Kesa, Maria; Pachitariu, Marius",Rastermap: a discovery method for neural population recordings,,,,10.1101/2023.07.25.550571,https://www.biorxiv.org/content/10.1101/2023.07.25.550571v2,"Neurophysiology has long progressed through exploratory experiments and chance discoveries. Anecdotes abound of researchers setting up experiments while listening to spikes in real time and observing a pattern of consistent firing when certain stimuli or behaviors happened. With the advent of large-scale recordings, such close observation of data has become harder because high-dimensional spaces are impenetrable to our pattern-finding intuitions. To help ourselves find patterns in neural data, our lab has been openly developing a visualization framework known as “Rastermap” over the past five years. Rastermap takes advantage of a new global optimization algorithm for sorting neural responses along a one-dimensional manifold. Displayed as a raster plot, the sorted neurons show a variety of activity patterns, which can be more easily identified and interpreted. We first benchmark Rastermap on realistic simulations with multiplexed cognitive variables. Then we demonstrate it on recordings of tens of thousands of neurons from mouse visual and sensorimotor cortex during spontaneous, stimulus-evoked and task-evoked epochs, as well as on whole-brain zebrafish recordings, widefield calcium imaging data, population recordings from rat hippocampus and artificial neural networks. Finally, we illustrate high-dimensional scenarios where Rastermap and similar algorithms cannot be used effectively.",8/7/23,1/26/24 17:54,1/26/24 17:54,1/26/24 17:54,,,,,,,Rastermap,,,,,bioRxiv,,en,"© 2023, Posted by Cold Spring Harbor Laboratory. This pre-print is available under a Creative Commons License (Attribution-NonCommercial 4.0 International), CC BY-NC 4.0, as described at http://creativecommons.org/licenses/by-nc/4.0/",,,,bioRxiv,,Pages: 2023.07.25.550571 Section: New Results,,/Users/raymond/Zotero/storage/33WUJ5BJ/Stringer et al. - 2023 - Rastermap a discovery method for neural populatio.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMC9ZFPJ,journalArticle,2023,"Rubinov, Mika",Circular and unified analysis in network neuroscience,eLife,,2050-084X,10.7554/eLife.79559,https://doi.org/10.7554/eLife.79559,"Genuinely new discovery transcends existing knowledge. Despite this, many analyses in systems neuroscience neglect to test new speculative hypotheses against benchmark empirical facts. Some of these analyses inadvertently use circular reasoning to present existing knowledge as new discovery. Here, I discuss that this problem can confound key results and estimate that it has affected more than three thousand studies in network neuroscience over the last decade. I suggest that future studies can reduce this problem by limiting the use of speculative evidence, integrating existing knowledge into benchmark models, and rigorously testing proposed discoveries against these models. I conclude with a summary of practical challenges and recommendations.",11/28/23,1/26/24 17:55,1/26/24 17:55,1/26/24 17:55,e79559,,,12,,,,,,,,,,,,,,,eLife,,"Publisher: eLife Sciences Publications, Ltd",,/Users/raymond/Zotero/storage/CX6NXDIA/Rubinov - 2023 - Circular and unified analysis in network neuroscie.pdf,,,systems neuroscience; benchmark models; computational neuroscience; explanatory models; network neuroscience; statistical models,"Baker, Chris I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBFRTCEC,journalArticle,2022,"Liberti, William A.; Schmid, Tobias A.; Forli, Angelo; Snyder, Madeleine; Yartsev, Michael M.",A stable hippocampal code in freely flying bats,Nature,,1476-4687,10.1038/s41586-022-04560-0,https://www.nature.com/articles/s41586-022-04560-0,"Neural activity in the hippocampus is known to reflect how animals move through an environment1,2. Although navigational behaviour may show considerable stability3–6, the tuning stability of individual hippocampal neurons remains unclear7–12. Here we used wireless calcium imaging to longitudinally monitor the activity of dorsal CA1 hippocampal neurons in freely flying bats performing highly reproducible flights in a familiar environment. We find that both the participation and the spatial selectivity of most neurons remain stable over days and weeks. We also find that apparent changes in tuning can be largely attributed to variations in the flight behaviour of the bats. Finally, we show that bats navigating in the same environment under different room lighting conditions (lights on versus lights off) exhibit substantial changes in flight behaviour that can give the illusion of neuronal instability. However, when similar flight paths are compared across conditions, the stability of the hippocampal code persists. Taken together, we show that the underlying hippocampal code is highly stable over days and across contexts if behaviour is taken into account.",2022-04,1/30/24 21:27,1/30/24 21:27,1/30/24 21:27,98-103,,7904,604,,,,,,,,,,en,"2022 The Author(s), under exclusive licence to Springer Nature Limited",,,,www.nature.com,,Number: 7904 Publisher: Nature Publishing Group,,/Users/raymond/Zotero/storage/ZPJE8SWL/Liberti et al. - 2022 - A stable hippocampal code in freely flying bats.pdf,,,Neuroscience; Hippocampus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8F83LT4,conferencePaper,2021,"Taniguchi, Masaki; Tezuka, Taro; Vergara, Pablo; Srinivasan, Sakthivel; Hosokawa, Takuma; Cherasse, Yoan; Naoi, Toshie; Sakurai, Takeshi; Sakaguchi, Masanori",Open-Source Software for Real-time Calcium Imaging and Synchronized Neuron Firing Detection,2021 43rd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),978-1-72811-179-7,,10.1109/EMBC46164.2021.9629611,https://ieeexplore.ieee.org/document/9629611/,"We developed Carignan, a real-time calcium imaging software that can automatically detect activity patterns of neurons. Carignan can activate an external device when synchronized neural activity is detected in calcium imaging obtained by a one-photon (1p) miniscope. Combined with optogenetics, our software enables closed-loop experiments for investigating functions of speciﬁc types of neurons in the brain. In addition to making existing pattern detection algorithms run in real-time seamlessly, we developed a new classiﬁcation module that distinguishes neurons from false-positives using deep learning. We used a combination of convolutional and recurrent neural networks to incorporate both spatial and temporal features in activity patterns. Our method performed better than existing neuron detection methods for false-positive neuron detection in terms of the F1 score. Using Carignan, experimenters can activate or suppress a group of neurons when speciﬁc neural activity is observed. Because the system uses a 1p miniscope, it can be used on the brain of a freely-moving animal, making it applicable to a wide range of experimental paradigms.",11/1/21,2/6/24 4:20,2/6/24 4:20,2/6/24 4:20,2997-3003,,,,,,,,,,,IEEE,Mexico,en,,,,,DOI.org (Crossref),,,,/Users/raymond/Zotero/storage/8BU586MK/Taniguchi et al. - 2021 - Open-Source Software for Real-time Calcium Imaging.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 43rd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),,,,,,,,,,,,,,,
F2AS3SBE,journalArticle,2023,"Zhang, Yuanlong; Zhang, Guoxun; Han, Xiaofei; Wu, Jiamin; Li, Ziwei; Li, Xinyang; Xiao, Guihua; Xie, Hao; Fang, Lu; Dai, Qionghai",Rapid detection of neurons in widefield calcium imaging datasets after training with synthetic data,Nature Methods,,1548-7105,10.1038/s41592-023-01838-7,https://www.nature.com/articles/s41592-023-01838-7,"Widefield microscopy can provide optical access to multi-millimeter fields of view and thousands of neurons in mammalian brains at video rate. However, tissue scattering and background contamination results in signal deterioration, making the extraction of neuronal activity challenging, laborious and time consuming. Here we present our deep-learning-based widefield neuron finder (DeepWonder), which is trained by simulated functional recordings and effectively works on experimental data to achieve high-fidelity neuronal extraction. Equipped with systematic background contribution priors, DeepWonder conducts neuronal inference with an order-of-magnitude-faster speed and improved accuracy compared with alternative approaches. DeepWonder removes background contaminations and is computationally efficient. Specifically, DeepWonder accomplishes 50-fold signal-to-background ratio enhancement when processing terabytes-scale cortex-wide functional recordings, with over 14,000 neurons extracted in 17 h.",2023-05,2/6/24 4:33,2/6/24 4:33,2/6/24 4:33,747-754,,5,20,,Nat Methods,,,,,,,,en,2023 The Author(s),,,,www.nature.com,,Number: 5 Publisher: Nature Publishing Group,,/Users/raymond/Zotero/storage/A8EC382Y/Zhang et al. - 2023 - Rapid detection of neurons in widefield calcium im.pdf,,,Fluorescence imaging; Mouse; Neuroscience; Image processing; Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
